,countrycode,country,currency_unit,year,rgdpe,pop,emp,avh,hc,cn,ctfp,vac,prod
590,AUS,Australia,Australian Dollar,1980,349085.7813,14.588405,6.277514458,1909.762827,3.21336031,1535867.125,0.845171928,32.0,58.236464075459
591,AUS,Australia,Australian Dollar,1981,366343.125,14.777243,6.356343269,1894.809448,3.232604742,1602208.25,0.856549442,32.0,60.83382960145656
592,AUS,Australia,Australian Dollar,1982,357623.9688,14.979205,6.340231419,1870.658317,3.251964808,1648038.25,0.845694184,32.0,60.30551561779361
593,AUS,Australia,Australian Dollar,1983,377933.2813,15.194641,6.241293907,1857.01413,3.271440506,1689566.875,0.871548772,32.0,65.21617017079623
594,AUS,Australia,Australian Dollar,1984,392094.875,15.423166,6.45838213,1878.158461,3.291033268,1742347.0,0.839384437,32.0,64.6495032958459
595,AUS,Australia,Australian Dollar,1985,405045.4063,15.663663,6.681814671,1869.260236,3.310742855,1795768.875,0.827946663,32.0,64.8588902520601
596,AUS,Australia,Australian Dollar,1986,412788.625,15.917572,6.977031708,1873.874479,3.330570698,1849092.0,0.798709214,32.0,63.1460986455537
597,AUS,Australia,Australian Dollar,1987,445069.2813,16.183168,7.141334534,1871.633417,3.350517273,1923072.625,0.831780732,32.0,66.59742651511263
598,AUS,Australia,Australian Dollar,1988,477367.9688,16.452255,7.412162304,1867.853552,3.370583296,2025909.625,0.834019125,32.0,68.9597259994637
599,AUS,Australia,Australian Dollar,1989,497244.1875,16.713989,7.722003937,1877.780871,3.39076972,2141520.25,0.826407075,32.0,68.58431123521835
600,AUS,Australia,Australian Dollar,1990,491977.8125,16.960597,7.84548378,1863.959761,3.411076784,2247378.75,0.809960604,32.0,67.28515409126783
601,AUS,Australia,Australian Dollar,1991,493066.25,17.18924,7.67402029,1850.484985,3.423622847,2368301.25,0.807902813,32.0,69.44272640395695
602,AUS,Australia,Australian Dollar,1992,512335.6875,17.402173,7.635434628,1846.54406,3.436215162,2515180.25,0.82306242,32.0,72.67602507305452
603,AUS,Australia,Australian Dollar,1993,533360.125,17.603205,7.66720295,1863.784511,3.448853731,2680929.5,0.814883471,32.0,74.64794943292287
604,AUS,Australia,Australian Dollar,1994,561455.5625,17.798529,7.922579765,1869.948752,3.461538792,2862218.75,0.808849216,32.0,75.79648390358193
605,AUS,Australia,Australian Dollar,1995,589598.5,17.993074,8.215477943,1870.329578,3.474270582,3020165.0,0.815469265,32.0,76.74240224173928
606,AUS,Australia,Australian Dollar,1996,620206.875,18.189277,8.321126938,1863.822992,3.487049341,3139764.0,0.829887629,32.0,79.97969796086547
607,AUS,Australia,Australian Dollar,1997,651510.625,18.387214,8.382689476,1861.098508,3.49987483,3236536.75,0.838560164,32.0,83.52159102310418
608,AUS,Australia,Australian Dollar,1998,681906.3125,18.587021,8.528651237,1846.629559,3.512747765,3337077.0,0.833966255,32.0,86.59534928411836
