"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GDPHRWKD","TOT","USD","A","1970",26.849037,
"AUS","GDPHRWKD","TOT","USD","A","1971",27.519193,
"AUS","GDPHRWKD","TOT","USD","A","1972",28.126336,
"AUS","GDPHRWKD","TOT","USD","A","1973",28.706391,
"AUS","GDPHRWKD","TOT","USD","A","1974",28.245465,
"AUS","GDPHRWKD","TOT","USD","A","1975",29.291891,
"AUS","GDPHRWKD","TOT","USD","A","1976",29.779567,
"AUS","GDPHRWKD","TOT","USD","A","1977",29.745096,
"AUS","GDPHRWKD","TOT","USD","A","1978",31.002268,
"AUS","GDPHRWKD","TOT","USD","A","1979",31.160623,
"AUS","GDPHRWKD","TOT","USD","A","1980",31.509903,
"AUS","GDPHRWKD","TOT","USD","A","1981",32.41839,
"AUS","GDPHRWKD","TOT","USD","A","1982",32.807278,
"AUS","GDPHRWKD","TOT","USD","A","1983",33.70813,
"AUS","GDPHRWKD","TOT","USD","A","1984",34.440656,
"AUS","GDPHRWKD","TOT","USD","A","1985",34.376214,
"AUS","GDPHRWKD","TOT","USD","A","1986",34.394656,
"AUS","GDPHRWKD","TOT","USD","A","1987",35.128817,
"AUS","GDPHRWKD","TOT","USD","A","1988",35.019444,
"AUS","GDPHRWKD","TOT","USD","A","1989",35.134833,
"AUS","GDPHRWKD","TOT","USD","A","1990",35.688405,
"AUS","GDPHRWKD","TOT","USD","A","1991",36.503378,
"AUS","GDPHRWKD","TOT","USD","A","1992",37.621648,
"AUS","GDPHRWKD","TOT","USD","A","1993",37.703136,
"AUS","GDPHRWKD","TOT","USD","A","1994",37.768518,
"AUS","GDPHRWKD","TOT","USD","A","1995",38.9007,
"AUS","GDPHRWKD","TOT","USD","A","1996",40.247089,
"AUS","GDPHRWKD","TOT","USD","A","1997",41.610448,
"AUS","GDPHRWKD","TOT","USD","A","1998",42.919568,
"AUS","GDPHRWKD","TOT","USD","A","1999",43.290004,
"AUS","GDPHRWKD","TOT","USD","A","2000",43.779461,
"AUS","GDPHRWKD","TOT","USD","A","2001",45.312444,
"AUS","GDPHRWKD","TOT","USD","A","2002",45.998551,
"AUS","GDPHRWKD","TOT","USD","A","2003",47.056871,
"AUS","GDPHRWKD","TOT","USD","A","2004",46.902014,
"AUS","GDPHRWKD","TOT","USD","A","2005",47.063794,
"AUS","GDPHRWKD","TOT","USD","A","2006",47.3017,
"AUS","GDPHRWKD","TOT","USD","A","2007",47.836256,
"AUS","GDPHRWKD","TOT","USD","A","2008",49.483852,
"AUS","GDPHRWKD","TOT","USD","A","2009",49.055792,
"AUS","GDPHRWKD","TOT","USD","A","2010",49.867874,
"AUS","GDPHRWKD","TOT","USD","A","2011",50.454253,
"AUS","GDPHRWKD","TOT","USD","A","2012",51.67034,
"AUS","GDPHRWKD","TOT","USD","A","2013",52.549593,
"AUS","GDPHRWKD","TOT","USD","A","2014",52.781785,
"AUS","GDPHRWKD","TOT","USD","A","2015",54.106372,
"AUS","GDPHRWKD","TOT","USD","A","2016",53.959369,
"AUS","GDPHRWKD","TOT","USD","A","2017",54.568744,
"AUS","GDPHRWKD","TOT","USD","A","2018",54.536184,"E"
"AUS","GDPHRWKD","TOT","USD","A","2019",55.214092,"E"
"AUS","GDPHRWKD","TOT","USD","A","2020",55.798187,"E"
"AUS","GDPHRWKD","TOT","USD","A","2021",57.026065,"E"
"AUT","GDPHRWKD","TOT","USD","A","1995",51.105772,
"AUT","GDPHRWKD","TOT","USD","A","1996",51.175266,
"AUT","GDPHRWKD","TOT","USD","A","1997",51.62205,
"AUT","GDPHRWKD","TOT","USD","A","1998",53.568424,
"AUT","GDPHRWKD","TOT","USD","A","1999",54.513967,
"AUT","GDPHRWKD","TOT","USD","A","2000",55.825179,
"AUT","GDPHRWKD","TOT","USD","A","2001",56.533555,
"AUT","GDPHRWKD","TOT","USD","A","2002",57.591558,
"AUT","GDPHRWKD","TOT","USD","A","2003",58.071618,
"AUT","GDPHRWKD","TOT","USD","A","2004",59.181589,
